Topic,Count,Name,keywords
0,3429,0_engine_the_and_we,"engine, the, and, we, to, was, of, at"
1,3397,1_the_to_approach_and,"the, to, approach, and, we, was, aircraft, traffic"
2,2980,2_gear_the_to_and,"gear, the, to, and, runway, landing, was, on"
3,2760,3_runway_aircraft_traffic_on,"runway, aircraft, traffic, on, pattern, the, to, and"
4,2194,4_smell_smoke_the_odor,"smell, smoke, the, odor, and, to, flight, we"
5,1634,5_turbulence_wake_we_the,"turbulence, wake, we, the, and, to, of, were"
6,1121,6_maintenance_the_that_and,"maintenance, the, that, and, to, was, mel, of"
7,1023,7_brake_the_tug_parking,"brake, the, tug, parking, push, brakes, to, set"
8,886,8_door_the_and_to,"door, the, and, to, flight, was, that, passenger"
9,807,9_drone_the_was_it,"drone, the, was, it, of, uas, my, airspace"
10,647,10_flaps_flap_we_the,"flaps, flap, we, the, and, to, landing, for"
11,597,11_and_the_to_was,"and, the, to, was, airspeed, we, my, on"
12,499,12_gps_jamming_navigation_we,"gps, jamming, navigation, we, the, of, and, anp"
13,424,13_mask_passenger_her_his,"mask, passenger, her, his, he, she, wearing, wear"
14,372,14_fuel_tank_the_imbalance,"fuel, tank, the, imbalance, and, to, leak, we"
15,369,15_taxiway_taxi_runway_hold,"taxiway, taxi, runway, hold, short, on, the, to"
16,344,16_ice_icing_the_anti,"ice, icing, the, anti, we, and, dry, to"
17,339,17_hazmat_bags_pit_goods,"hazmat, bags, pit, goods, dangerous, dg, load, the"
18,305,18_battery_lithium_batteries_bag,"battery, lithium, batteries, bag, wheelchair, passenger, ion, the"
19,266,19_trim_the_pitch_stab,"trim, the, pitch, stab, to, and, control, was"
