ACN,date,Events | Anomaly,Aircraft 1 | Make Model Name,Aircraft 1 | Flight Phase,Assessments | Primary Problem,if_score,spc_flag
1774629,2020-12-01,Inflight Event / Encounter Weather / Turbulence,Light Transport,Cruise,Weather,0.9970929646457145,1
1968065,2023-01-01,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,"Small Aircraft, High Wing, 1 Eng, Fixed Gear",,Procedure,0.9891889657317321,1
1975305,2023-02-01,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,"Small Aircraft, High Wing, 1 Eng, Fixed Gear",Climb,Weather,0.9809294598066227,1
1968067,2023-01-01,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Maintenance; Ground Event / Encounter Ground Equipment Issue,Any Unknown or Unlisted Aircraft Manufacturer,,Procedure,0.9414022002549438,1
1773000,2020-11-01,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy,Any Unknown or Unlisted Aircraft Manufacturer,Cruise,Staffing,0.9306146859204076,1
1758535,2020-08-01,Deviation / Discrepancy - Procedural Published Material / Policy,,,,0.9305554929947559,1
1779584,2020-12-01,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,Small Aircraft,Final Approach,Staffing,0.9292327220668475,1
1778068,2020-12-01,"ATC Issue All Types; Airspace Violation All Types; Conflict Ground Conflict, Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT",Small Aircraft,Cruise,Procedure,0.9273475983433384,1
1957535,2022-12-01,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,Tobago TB-10,Descent,Weather,0.9244431018753111,1
1963957,2023-01-01,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter CFTT / CFIT,SR22,Cruise,Procedure,0.9128612923734374,1
1778067,2020-12-01,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Laser,No Aircraft,Other Holding Pattern,Procedure,0.9111243972990957,1
1720690,2020-01-01,Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue,Learjet 60,Climb,Aircraft,0.9096539916383524,1
1772411,2020-11-01,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy,Small Aircraft,Cruise,Staffing,0.9090440741751968,1
1767753,2020-10-01,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway,"Small Aircraft, High Wing, 1 Eng, Fixed Gear",Taxi,Staffing,0.9082934264657372,1
1974740,2023-02-01,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,PC-12,,Procedure,0.9077558388966038,1
1764969,2020-10-01,Conflict NMAC; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy,No Aircraft,,Airport,0.9071981725056502,1
1895121,2022-04-01,Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather / Turbulence; Ground Incursion Runway,Amateur/Home Built/Experimental,Taxi,Weather,0.9038927107857451,1
1977375,2023-02-01,Conflict Airborne Conflict; Conflict NMAC,UAV: Unpiloted Aerial Vehicle,,Ambiguous,0.9016513049926551,1
1775147,2020-12-01,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway,Small Aircraft,Landing,,0.8990891593302762,1
1964515,2023-01-01,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,"Medium Transport, Low Wing, 2 Turbojet Eng",Final Approach,Procedure,0.8953882148226279,1
